Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC)
01.01.2009 00:10:00,996.52,-8.02,265.4,-8.9
01.01.2009 00:20:00,996.57,-8.41,265.01,-9.28
01.01.2009 00:30:00,996.53,-8.51,264.91,-9.31
01.01.2009 00:40:00,996.51,-8.31,265.12,-9.07
01.01.2009 00:50:00,996.51,-8.27,265.15,-9.04
01.01.2009 01:00:00,996.5,-8.05,265.38,-8.78
01.01.2009 01:10:00,996.5,-7.62,265.81,-8.3
01.01.2009 01:20:00,996.5,-7.62,265.81,-8.36
01.01.2009 01:30:00,996.5,-7.91,265.52,-8.73
01.01.2009 01:40:00,996.53,-8.43,264.99,-9.34
01.01.2009 01:50:00,996.62,-8.76,264.66,-9.66
01.01.2009 02:00:00,996.62,-8.88,264.54,-9.77
01.01.2009 02:10:00,996.63,-8.85,264.57,-9.7
01.01.2009 02:20:00,996.74,-8.83,264.58,-9.68
01.01.2009 02:30:00,996.81,-8.66,264.74,-9.46
01.01.2009 02:40:00,996.81,-8.66,264.74,-9.5
01.01.2009 02:50:00,996.86,-8.7,264.7,-9.55
01.01.2009 03:00:00,996.84,-8.81,264.59,-9.66
01.01.2009 03:10:00,996.87,-8.84,264.56,-9.69
01.01.2009 03:20:00,996.97,-8.94,264.45,-9.82
01.01.2009 03:30:00,997.08,-8.94,264.44,-9.8
01.01.2009 03:40:00,997.1,-8.86,264.52,-9.76
01.01.2009 03:50:00,997.06,-8.99,264.39,-9.99
01.01.2009 04:00:00,996.99,-9.05,264.34,-10.02
01.01.2009 04:10:00,997.05,-9.23,264.15,-10.25
01.01.2009 04:20:00,997.11,-9.49,263.89,-10.54
01.01.2009 04:30:00,997.19,-9.5,263.87,-10.51
01.01.2009 04:40:00,997.24,-9.35,264.02,-10.29
01.01.2009 04:50:00,997.37,-9.47,263.89,-10.46
01.01.2009 05:00:00,997.46,-9.63,263.72,-10.65
01.01.2009 05:10:00,997.43,-9.67,263.68,-10.63
01.01.2009 05:20:00,997.42,-9.68,263.67,-10.73
01.01.2009 05:30:00,997.53,-9.9,263.45,-10.98
01.01.2009 05:40:00,997.6,-9.91,263.43,-10.9
01.01.2009 05:50:00,997.62,-9.51,263.83,-10.37
01.01.2009 06:00:00,997.71,-9.67,263.66,-10.62
01.01.2009 06:10:00,997.81,-9.59,263.74,-10.47
01.01.2009 06:20:00,997.86,-9.15,264.17,-10.02
