,user_name,screen_name,location,date,text,essential_worker,oil_market_crisis,supply_shortage,sanitizing_products,shopping
1,3800,48752,UK,16-03-2020,advice talk family exchange phone number create contact list phone number neighbour school employer chemist gp set online shop account adequate supply regular med order,0.0,0.00415728214428892,0.0336866457079659,0.0,0.9621560721477451
2,3801,48753,Vagabonds,16-03-2020,coronavirus australia woolworths give elderly disable dedicate shopping hour outbreak,0.03716205354803235,0.13223458687499787,0.0,0.0,0.8306033595769697
5,3804,48756,"ÃT: 36.319708,-82.363649",16-03-2020,news first confirm case come sullivan county last week people flock area store purchase clean supply hand sanitizer food toilet paper good report,0.08007620042236771,0.03947074576589323,0.2983964685044444,0.5820565853072948,0.0
6,3805,48757,"35.926541,-78.753267",16-03-2020,cashier grocery store share insight prove credibility comment civics class know talk,0.9233180645986254,0.07668193540137468,0.0,0.0,0.0
8,3807,48759,"Atlanta, GA USA",16-03-2020,due retail store classroom open business class week begin monday march continue process online phone order normal thank understanding,0.25304718604168863,0.14785159554745297,0.0,0.0,0.5991012184108584
9,3808,48760,"BHAVNAGAR,GUJRAT",16-03-2020,corona prevention stop buy thing cash use online payment method corona spread note also prefer online shopping home time fight covid,0.0,0.0,0.052806886275939546,0.1275259973623748,0.8196671163616857
10,3809,48761,"Makati, Manila",16-03-2020,month crowd supermarket restaurant however reduce hour close mall mean everyone use entrance dependent single supermarket,0.1142152609365013,0.027700157708920845,0.3292522209506268,0.21098033860936044,0.31785202179459066
11,3810,48762,"Pitt Meadows, BC, Canada ",16-03-2020,due situation increase demand food product wait time longer online order particularly beef share freezer pack thank patience time,3.430195242341539e-05,0.24631659621927932,0.2896095189670403,0.0,0.46403958286125685
12,3811,48763,Horningsea,16-03-2020,care community look less capable village ensure stay healthy bring shopping door help online shop isolation symptom expose somebody,0.0,0.0,0.0,0.010351598131690301,0.9896484018683097
15,3814,48766,"Houston, Texas",16-03-2020,line grocery store unpredictable eat safe alternative find avoid restaurant right,0.8781783008655315,0.0,0.0,0.06234442115026779,0.05947727798420062
17,3816,48768,"Ontario, Canada",16-03-2020,russia consumer surveillance watchdog report case high arctic man travel iran observe,0.0,0.9361866549050006,0.0,0.003950192563999528,0.05986315253099975
18,3817,48769,North America,16-03-2020,amazon glitch stymy whole food fresh grocery spread see significant increase people shop online grocery spokeswoman say statement result system impact affect,0.20725876682930208,0.11747963888594952,0.25050412802544675,0.0,0.4247574662593018
19,3818,48770,"Denver, CO",16-03-2020,struggle please consider donate food bank nonprofit demand service increase impact job people way life,0.0,0.2578835638255213,0.72631959996988,0.0,0.01579683620459882
20,3819,48771,southampton soxx xxx,16-03-2020,nation inficted covid world play fair china goverments demand china adopts new guilde line food safty chinese goverment guilty irosponcible life global scale,0.033780869343251856,0.4991071927790111,0.467111937877737,0.0,0.0
21,3820,48772,Global,16-03-2020,coronavirus pandemic impact consumer shopping behavior purchase decision retail sale accord first insight study,0.006084339876045051,0.5238869328352409,0.0,0.0,0.47002872728871414
24,3823,48775,Downstage centre,16-03-2020,do ensure food essential product supermarket panic buying actively discourage leave checkout staff police action selfish profiteer,0.0,0.0,1.0,0.0,0.0
25,3824,48776,London,16-03-2020,uk poll indicate majority expect impact last month march expect increase next see full result coronavirus consumer confidence tracker,0.0,0.8237347409242664,0.08949988100753442,0.0,0.08676537806819924
26,3825,48777,"Ketchum, Idaho",16-03-2020,preparation high demand potential food shortage hunger coalition purchase percent food implement new protocol due coronavirus,0.0,0.2958589021367981,0.704141097863202,0.0,0.0
27,3826,48778,Everywhere You Are!,16-03-2020,morning test positive covid feel ok symptom far isolated find possible exposure virus stay home people pragmatic keep updated panic,0.11766932353635823,0.010727679163556622,0.4312596020735498,0.11214029261363978,0.3282031026128956
28,3827,48779,"New York, NY",16-03-2020,see malicious price increase nyc nyc department consumer worker protection dcwp set page digitally file complaint click file complaint use word overcharge,0.11978117529299755,0.7326291660094567,0.0,0.13000910526924067,0.017580553428304956
29,3828,48780,"Someplace, USA",16-03-2020,soon dwindle supply unlawful panicky people break close store amp supermarket raid normally crisis massive amp lockup,0.26153803744678106,0.26654492334324065,0.3803046354545523,0.019337233865601967,0.07227516988982413
33,3832,48784,"Virginia, USA",16-03-2020,coronavirus fun fact cough grocery store get whole aisle pretty quickly,1.0,0.0,0.0,0.0,0.0
34,3833,48785,"London, England",16-03-2020,sorry say event cancel due health wellbeing attendee speaker staff top priority apology disappointment cause faq answer link,0.14065593197344503,0.5415426022753339,0.10377566421305887,0.0,0.21402580153816228
36,3835,48787,Where The Wild Things Are,16-03-2020,yes buy point post photo people supermarket load stuff buy elderly parent kid sibling etc buy themselvesnot everything need viral alr,0.0,0.0,0.9348855018013263,0.014383478940406655,0.050731019258267104
37,3836,48788,Canada,16-03-2020,worried impact current pandemic finance publish tip help manage money challenge time,0.013270897479979372,0.5804685291471294,0.08685437590313558,0.012425094888266802,0.30698110258148886
40,3839,48791,"Fort Worth, Texas",16-03-2020,provide safe shopping experience customer healthy environment associate community online order place,0.0,0.0,0.0,0.0062778155135550205,0.993722184486445
42,3841,48793,Houston,16-03-2020,check video food usa market due coronavirus panic gon die starvation,0.0,0.27560658133534854,0.7243934186646513,0.0,0.0
43,3842,48794,"Vancouver, British Columbia",16-03-2020,break story online clothes shop rise people find mysterious white patch form clothes,0.0,0.0,0.07902436221034176,0.0,0.9209756377896582
46,3845,48797,Drogheda,16-03-2020,please share know someone live struggle get local supermarket due issue offer free delivery healthy soup anyone need freezable,0.06112165617590604,0.06235517867131189,0.39478279959012347,0.041183356069853586,0.4405570094928051
47,3846,48798,"Columbia, MO",16-03-2020,people post share photo half completely empty shelf call people dumb idiot shop grocery store lol,0.4238571054386163,0.0,0.4055151821499027,0.0,0.17062771241148095
49,3848,48800,"Washington, DC",16-03-2020,restriction spark run cannabis storesthey close yet customer stock cannabis weekend preparing retail store restriction come day,0.5615492859098806,0.07899265620131617,0.2267518372606314,0.0,0.13270622062817186
50,3849,48801,"Washington, DC",16-03-2020,everything see current outbreak see previous epidemic pandemic rise fear racism panic buying food medicine conspiracy theory proliferation quack cure,0.0,0.2756069740989549,0.724393025901045,0.0,0.0
52,3851,48803,"Ogden, UT",16-03-2020,stock water cause utility company shut middle pandemic school close thier door lose work cause kid go afford month food,0.13424135944424495,0.25977249096592786,0.5908821538291256,0.01510399576070156,0.0
56,3855,48807,"Reno, NV",16-03-2020,thing panic buy emergency get toilet paper important afraid bad case scenario wash tub use money food crazy,0.0,0.0,0.6115753676900951,0.3884246323099048,0.0
57,3856,48808,San Clemente,16-03-2020,thank grocery clerk go grocery store today look weary eye thank realize thrust front line panick new breed first responder work hard serve community,1.0,0.0,0.0,0.0,0.0
62,3861,48813,"Hamilton, Ontario",16-03-2020,work capitalize demand package food make stay open oppose closing health safety,0.16047318044678716,0.11109615189578048,0.4498246214620262,0.1284368300387647,0.15016921615664164
63,3862,48814,"Dallas, TX",16-03-2020,feel ethical still stuff order delivery food online shopping ship isolation care package love one,0.0,0.0,0.14533885273676758,0.0,0.8546611472632324
66,3865,48817,The European Union,16-03-2020,see facebook group business need stop increase price essential emergency situation frankly despicable totally void community spirit,0.007184237102356837,0.6292183766106073,0.289766026703133,0.0,0.07383135958390279
67,3866,48818,"London, England",16-03-2020,sadly misinform think give diarrhoea therefore toilet paper atm hygiene food important,0.0,0.0,0.6449129263611132,0.35508707363888686,0.0
68,3867,48819,Melissa Schuman is a Liar ??,16-03-2020,yeah parent risky people covid stay home go supermarket really necessary stay safe,0.10674747843036958,0.0,0.27291985993891804,0.10493695435730774,0.5153957072734046
69,3868,48820,"Canvey Island, Essex, UK",16-03-2020,cn group mum live group need shielded week month mean stay hope still get online shopping need,0.0,0.0,0.19198142950718783,0.0,0.8080185704928122
70,3869,48821,NCSU,16-03-2020,kind say word make sound word many people think news b make go store panic buy food basic necessity nothing leave,0.19730846748319972,0.0,0.7385920231122787,0.06409950940452158,0.0
73,3872,48824,"Morgantown, WV",16-03-2020,pause student loan payment addition halt interest accumulation stop punitive student loan collection provide much need immediate relief individual unable work amp face economic hardship,0.10677129519219344,0.34966956580933994,0.2939177594565096,0.16427680066343717,0.08536457887851982
75,3874,48826,MA & New England by way of CA,16-03-2020,lose wage due illness virus economic impact mean increase demand urge support bill include support food bank flexibility school meal increase,0.0,0.5064673318947037,0.453747477734484,0.0,0.03978519037081225
76,3875,48827,"Napa, Ca",16-03-2020,action selfish ceo grocery store time people shop show id saw young couple roll tp full crap well maybe,0.49457962915145365,0.0,0.21453022225901874,0.0,0.29089014858952744
77,3876,48828,New York City,16-03-2020,coronavirus pose complex puzzle company delivery capacity buckle surge demand,0.0,0.559681688219757,0.08115297636240833,0.0,0.3591653354178348
78,3877,48829,Cornwall England,16-03-2020,disgust disgraceful charge inflated price item stop spread government really need something abou,0.0,0.5612731865960779,0.37473479580975894,0.0639920175941631,0.0
79,3878,48830,"Boston, MA",16-03-2020,retailer close physical store curtail hour result agoing put additional pressure omnichannel alternative grocery delivery curbside pick,0.6659666782963662,0.0,0.0,0.0,0.3340333217036338
80,3879,48831,"Whittier, CA",16-03-2020,check folk cal idea la habra supermarket offer special hour senior crisis,0.1358860864391076,0.1594396672455298,0.22234332928326925,0.0,0.48233091703209335
81,3880,48832,Great Wakering Essex,16-03-2020,love hate head advice amp blip live happen whinge dont panic buy food wont run spend time family use common sense,0.0,0.04324967092627474,0.7407666033499813,0.15259544234115302,0.06338828338259091
82,3881,48833,"Andersonville, Chicago, IL",16-03-2020,open letter hold organization others precipice crisis household economy please suspend debt sixty day response free sign,0.11807084390175833,0.45341554998842853,0.17435418897904542,0.023057792659853978,0.23110162447091362
83,3882,48834,"Sydney, Australia",16-03-2020,want spread news old australian particularly still mobile family support,0.14424780092433015,0.19120779345656866,0.24303586890487985,0.025426861830402832,0.39608167488381846
84,3883,48835,"Boston, MA",16-03-2020,sadly surprise meheard payer exec lay low hop blow mind bogglingly stupid nonprofit blue plan,0.03864909110526314,0.9260776958605073,0.035273213034229575,0.0,0.0
85,3884,48836,"Barnsley, England",16-03-2020,work retail keep stock back old customer frank come store bread see empty shelve say worry pal save pat n bean get discipline yes care get,0.4672172725850214,0.0520800882344422,0.37637273879391225,0.0022388310935973522,0.10209106929302665
86,3885,48837,"Bangkok, Thailand",16-03-2020,attempt lengthen runway market budget slash hire frozen staffing matrix redrawn dive deep consumer startup battle impact business,0.0,0.8412144709697918,0.0,0.0,0.15878552903020812
87,3886,48838,"Windsor, Ontario, Canada.",16-03-2020,time distillery remain operation offer public tour host function event retail store also close,0.5624496454627137,0.19533271883373007,0.0,0.03387019100685476,0.2083474446967015
88,3887,48839,"Los Angeles, mostly",16-03-2020,please hoard food water absolutely need panic buy supply chain completely interrupted please hoard sanitize product people really need probably,0.0,0.0,0.9401567257018855,0.05984327429811449,0.0
90,3889,48841,"Houston, TX",16-03-2020,call mum dad uk great offer help online shop etc sometimes forget always far parent tech really useful,0.0,0.0,0.005878553566658264,0.032271246439516614,0.9618501999938252
91,3890,48842,KDH,16-03-2020,people see stock good trolley panic buying rumour spread today hypermarket kajang march picture shafwan zaidon,0.0,0.09486229335013072,0.9051377066498694,0.0,0.0
92,3891,48843,"Worcester, Massachusetts",16-03-2020,often see major news event criminal try take advantage situation coronavirus exception guidance attorney general office,0.07436273242041301,0.5696383140532106,0.0913108585465728,0.11085183423907717,0.1538362607407264
93,3892,48844,"Leicester, England",16-03-2020,pretty sure week supermarket supply chain dry county effect possibly go lockdown government introduce form ration people eat somehow think,0.10362533543471918,0.10818647858356285,0.7294216555818501,0.0,0.05876653039986775
94,3893,48845,"Adelaide, South Australia",16-03-2020,supermarket worker frontline extraordinary time retail extreme shopping please remain calm thank worker everything keep shelf stock checkout move,0.40613423393067205,0.0,0.2835658284502414,0.0,0.3102999376190865
95,3894,48846,FREE goal setting guide ??,16-03-2020,worried worried people plan gt panic buying gt focus important issue gt best opportunity positive structure reduce key decision flourishstay safe,0.015876901100641768,0.13593171675673799,0.6332732765312143,0.07031852291711096,0.14459958269429504
96,3895,48847,"Washington, DC",16-03-2020,big supermarket chain unite employee many receive sick employee test positive still provide pay sick leave everyone,0.5063844760865223,0.09306064645996515,0.31403591018356236,0.0,0.08651896726995031
97,3896,48848,"Washington, DC",16-03-2020,instead pay sick leave provide week pay leave people test positive place mandatory quarantinethis insufficient protect staff public especially little test av,0.3533340136255336,0.17291199906577162,0.3218285838756855,0.05038081190637779,0.10154459152663138
98,3897,48849,San Joaquin Valley CA,16-03-2020,follow go shop day ago pain necessary protect grocery shop consumer report,0.24693290390020342,0.10446257342066749,0.0,0.0,0.6486045226791292
99,3898,48850,Planet Earth,16-03-2020,take picture today home grocery store montgomery county flour sugar sweet potato potato orange juice paper towel toilet paper low meat mac cheese,0.42150834800821,0.10098220233519344,0.0983436509308791,0.3791657987257174,0.0
100,3899,48851,"Portsmouth, England",16-03-2020,hate grocery shop general swear online shop deal swathe panic buyer,0.06399447404537799,0.0,0.07393196291179661,0.0,0.8620735630428255
101,3900,48852,"London, UK and....",16-03-2020,rapid delivery food order make slot elsewhere week seem fine email list stock deliver bottle orange juice,0.0,0.0,0.44472020523670974,0.11359778942178986,0.4416820053415003
103,3902,48854,USA,16-03-2020,also need say go grocery store do completely safely mean risk get spread reduce risk stay ft people amp wash hand eliminate,0.3227790900055899,0.004537707556797546,0.15606826136544952,0.41619211471389134,0.10042282635827182
104,3903,48855,I try to be politics free but will comment on Trump/GOP policy as the news is dominating tape.,16-03-2020,maybe come recession play phase damage main street ongoing cb rescue temp recovery credit mkt recovery consumer econ unknown second shock later finally bring wall street altogether spx rut ndx,0.05134982318617287,0.7025309969481535,0.0016559830027841637,0.074143358128753,0.1703198387341367
106,3905,48857,d.,16-03-2020,get real world know real many world please sign petition food bev people colorado,0.07375854557759555,0.05990612745311958,0.7946573194711378,0.0,0.07167800749814711
109,3908,48860,"Denver, CO",16-03-2020,update make sure check local listing see drive starbucks use model early closing include king soopers sam club etc,0.0862595176819692,0.19459045548010134,0.08725429588810067,0.38756169344751296,0.24433403750231586
110,3909,48861,"Los Angeles, CA",16-03-2020,supermarket la habra try help local senior pandemic open door early day exclusively shopper older,0.16678855046392274,0.10520557661270252,0.30273933910447764,0.008563807129461603,0.4167027266894356
111,3910,48862,"Los Angeles, CA",16-03-2020,supermarket la habra try help local senior pandemic open door early day exclusively shopper older,0.16678855046392274,0.10520557661270252,0.30273933910447764,0.008563807129461603,0.4167027266894356
114,3913,48865,"Fort Wayne, IN",16-03-2020,new guide examine large restaurant chain sale handle pay sick leave pandemic result good disclose pay leave policy chain offer sick leave location nationwide,0.19214792191280122,0.4549979506117742,0.18915383893876625,0.0,0.16370028853665822
115,3914,48866,Lots of different places,16-03-2020,confirm store signage say take extra precaution light staff state nothing change effort management protect retail worker speed crucial,0.6991874479450431,0.2763074034801635,0.0,0.006051250041340163,0.018453898533453337
116,3915,48867,"Berkshire, England",16-03-2020,idiot work cause unnecessary problem empty shelf get enough rice last year,0.19708909264841695,0.09162958727315154,0.7112813200784315,0.0,0.0
